OpportunityID,AdditionalInformationOnEligibility,AdditionalInformationText,AdditionalInformationURL,AgencyCode,AgencyName,ArchiveDate,AwardCeiling,AwardFloor,CFDANumbers,CategoryExplanation,CategoryOfFundingActivity,CloseDate,CloseDateExplanation,CostSharingOrMatchingRequirement,Description,EligibleApplicants,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,FundingInstrumentType,GrantorContactEmail,GrantorContactEmailDescription,GrantorContactText,LastUpdatedDate,OpportunityCategory,OpportunityCategoryExplanation,OpportunityNumber,OpportunityTitle,PostDate,Version
262148,Eligibility for U.S. institutions is limited to not-for-profit organizations subject to 501 (c) (3) of the tax code.,,,DOS-SA,Bureau of South and Central Asian Affairs,10042014,600000,400000,19.040,Public Diplomacy,O,09042014,,No,"The Office of Press and Public Diplomacy of the Bureau of South and Central Asian Affairs of the U.S. Department of State, in coordination with the Bureau of European and Eurasian Affairs and the Bureau of Education and Cultural Affairs, announces an open competition for a cooperative agreement to implement the Edmund S. Muskie Graduate Internship Program (herein referred to as the Muskie Internship Program). The Muskie Internship Program is designed to promote mutual understanding and foster democratization and the transition to market economies in Eurasia through intensive professional education. Through this program, 35-40 Muskie Interns will begin a four-month professional internship in the United States immediately upon the completion of their Fulbright Foreign Student Program. These internships provide an opportunity to further professional development, as well as reinforce skills gained during academic study.",25,600000,1,CA,DelageEM@state.gov,Inquiries,"Ellen Delage, Bureau of South and Central Asian Affairs,  Office of Press and Public Diplomacy ;",08202014,D,,SCAPPD-14-AW-161-SCA-08152014,Establishment of the Edmund S. Muskie Graduate Internship Program,08152014,Synopsis 2
262149,The recipient has already been selected for this award.  Please see attached Notice of Intent to Award for specifics.,http://www.grants.gov/,http://www.grants.gov/,DOI-FWS,Fish and Wildlife Service,08232014,0,0,15.608,,NR,08222014,,No,Funds under this award are to be used for the eradication of Yellow Crazy Ants from Johnston Atoll National Wildlife Refuge.,99,0,,CA,Connie_Sauer@fws.gov,Connie_Sauer@fws.gov,"Connie Sauer, 503-490-0827;Connie_Sauer@fws.gov;",08152014,D,,F14AS00402,Eradication of Yellow Crazy Ants on Johnston Atoll NWR,08152014,Synopsis 1
131073,"This financial assistance opportunity is being issued under a Cooperative Ecosystem Studies Unit (CESU) Program.  CESUs are partnerships that provide research, technical assistance, and education.  This assistance is provided through a CESU cooperative agreement, which is neither a contract nor a grant.  Eligible recipients must be a participating partner of the Piedmont - South Atlantic Coast CESU Program.",http://www.grants.gov/,http://www.grants.gov/,DOI-USGS1,Geological Survey,12172011,0,0,15.808,,ST,11292011,,No,The USGS Southeast Ecological Science Center seeks to provide financial assistance for research investigating the use of fish otoliths to identify prime nursery areas for common snook and red drum in Tampa Bay Florida.,25,31900,1,CA,fgraves@usgs.gov,fgraves@usgs.gov,"Faith Graves, 703-648-7356;fgraves@usgs.gov;",11282011,D,,G12AS20003,"Cooperative Ecosystem Studies Unit, Piedmont South Atlantic Coast CESU",11172011,Synopsis 2
131094,"DOE Eligibility Criteria: Applicants from U.S. Colleges and universities, non-profit organizations, for-profit commercial organizations, state and local governments, and unaffiliated individuals are eligible to apply, except Federally Funded Research and Development Center (FFRDC) Contractors, and nonprofit organizations described in section 501(c)(4) of the internal Revenue Code of 1986 that engaged in lobbying activities after December 31, 1995. Researchers from other Federal agencies are encouraged to submit a pre-application referencing DE-FOA- 0000598; if a formal application is encouraged, additional submission information will be provided.  USDA Eligibility Criteria: The Secretary may award grants to State agricultural experiment stations; colleges and universities; university research foundations; other research institutions and organizations; Federal agencies; national laboratories; private organizations or corporations; individuals; or any group consisting of two or more of the aforementioned entities. Applications from scientists at non-U.S. organizations will not be accepted. Award recipients may subcontract to organizations not eligible to apply, provided such organizations are necessary for the conduct of the project.",FedConnect,https://www.fedconnect.net,PAMS-SC,Office of Science,05242012,500000,200000,81.049,,ST,02242012,,No,"The U.S. Department of Energy&apos;s Office of Science, Office of Biological and Environmental Research (BER), and the U.S. Department of Agriculture (USDA), National Institute of Food and Agriculture (NIFA), hereby announce their interest in receiving applications for genomics based research that will lead to the improved use of biomass and plant feedstocks for the production of fuels such as ethanol or renewable chemical feedstocks. Specifically, applications are sought for fundamental research on plants that will improve biomass characteristics, biomass yield, or sustainability. Systems biology approaches to identify genetic indicators enabling plants to be efficiently bred or manipulated, or research to predict phenotype from underlying genotype that could lead to improved feedstock characterization and sustainability are also encouraged. Renewable energy from biomass has the potential to reduce or remove dependency on fossil fuels as well as reduce negative environmental impacts from emissions of greenhouse gases and toxic pollutants. Realizing this potential will require the simultaneous development of high yielding biomass production systems and bioconversion technologies that efficiently convert biomass energy into the forms of energy usable by industry. Most agricultural research to date has focused on enhancing the production of seeds, roots and tubers that are used for food and feed production. However, these improvements in food crops have frequently been directed towards increases in starch content with a corresponding reduction of lignocelluloses accumulation. Research applications are solicited for genomics-based research that will lead to improved utilization of plant biomass for the production of fuels such as ethanol or renewable chemical feedstocks. This Funding Opportunity Announcement (FOA) co ntinues a commitment, initiated in 2006, to conduct a fundamental research program in biomass genomics, to provide the scientific foundation to facilitate the use of lignocellulosic materials, either primary material or agricultural residues, for bioenergy and biofuels. The rationale for developing lignocellulosic crops for energy is that less intensive production techniques and poorer quality land can be used for these crops, thereby avoiding competition with food production on better quality land.",99,6000000,10,G,kim.laing@science.doe.gov,kim.laing@science.doe.gov,"Kimberlie J. Laing, Grant Analyst, 301-903-3026;kim.laing@science.doe.gov;Catherine M. Ronning, Program Manager, 301-903-9549;Catherine.Ronning@science.doe.gov;",11172011,D,,DE-FOA-0000598,"Plant Feedstock Genomics for Bioenergy:  A Joint Research Funding Opportunity Announcement USDA, DOE",11172011,Synopsis 1
131095,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are  allowed.",http://grants.nih.gov/grants/guide/rfa-files/RFA-HL-12-034.html,http://grants.nih.gov/grants/guide/rfa-files/RFA-HL-12-034.html,HHS-NIH11,National Institutes of Health,04152012,400000,,93.838,,HL,03152012,,No,"This FOA invites clinical trials planning grant (R34) applications to support the initial organization, protocol development, and necessary preliminary studies critical for the design of robust Phase II and III clinical trials in HIV-infected populations with lung disease alone or with cardiovascular co-morbidity. The focus of the clinical trials designed in this program will be on optimizing intervention strategies for HIV-related lung disease, with or without co-morbid cardiovascular disease, to reduce morbidity and mortality associated with these conditions.",25,2000000,,G,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster;FBOWebmaster@OD.NIH.GOV;,11172011,D,,RFA-HL-12-034,Management of HIV-Related Lung Disease and Cardiovascular Co-Morbidity (R34),11172011,Synopsis 1
131093,"Other Eligible Applicants include the following:  Alaska Native and Native Hawaiian Serving Institutions; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Tribally Controlled Colleges and Universities (TCCUs) ; Non-domestic (non-U.S.) Entities (Foreign Institutions) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.  Foreign components, as defined in the NIH Grants Policy Statement, are not allowed.",http://grants.nih.gov/grants/guide/pa-files/PAR-12-017.html,http://grants.nih.gov/grants/guide/pa-files/PAR-12-017.html,HHS-NIH11,National Institutes of Health,04212012,,,93.389,,HL,03212012,,No,"The NCRR Shared Instrument Grant (SIG) program encourages applications from groups of NIH-supported investigators to purchase or upgrade a single item of expensive, specialized, commercially available instrumentation or an integrated system that costs at least $100,000. The maximum award is $600,000. Types of instruments supported include confocal and electron microscopes, biomedical imagers, mass spectrometers, DNA sequencers, biosensors, cell-sorters, X-ray diffraction systems, and NMR spectrometers among others.",25,43000000,110,G,FBOWebmaster@OD.NIH.GOV,"If you have any problems linking to this funding announcement, please contact the NIH OER Webmaster",NIH OER Webmaster;FBOWebmaster@OD.NIH.GOV;,03062012,D,,PAR-12-017,Shared Instrumentation Grant Program (S10),11172011,Synopsis 2
262168,,Click on the application tab above to download the full announcement and application package.,https://www.grants.gov,DOI-BLM,Bureau of Land Management,10152014,95000,0,15.225,,NR,08292014,,No,Reestablish the Croy Creek Trail Network to allow for motorized and non-motorized trails to once again be available for public use.,99,95000,1,CA,cshaver@blm.gov,cshaver@blm.gov,"Christine Shaver, Grants Management Officer, 208-373-3817;cshaver@blm.gov;",08152014,D,,L14AS00315,Idaho BLM - Croy Creek Trail,08152014,Synopsis 1
262188,This is a notice of intent to award a single source grant to Calvin College under justification 505DM 2.14B(2)(4).,http://www.grants.gov,http://www.grants.gov,DOI-FWS,Fish and Wildlife Service,08262014,250000,150000,15.662,,ENV,08252014,This is a notice of intent to award a single source grant to Calvin College under justification 505DM 2.14B(2)(4).,No,"This program will provide assistance to an institution to investigate and monitor of the effects of environmental contaminants on the breeding population numbers, reproduction, and immunological health of fish eating birds found in the Saginaw Bay, Raisin River and other Great Lakes Areas of Concern (AOCs), building on previous investigations in past years. To accomplish this goal, the recipient institution will collect new data to evaluate the status of fish eating bird population health relative to reference (non AOC) areas and to these same areas as measured in the past. The recipient institution must have a proven record of experience in working with these types of bird colonies in the Great Lakes and measuring specific immunological endpoints in order to maintain scientific integrity and comparability of data. In addition to the continuing work on colonial waterbird populations, reproduction, and immune function, the recipient institution will measure the same endpoints at an additional site (Bellow Island), evaluate potential influence of contaminants of emerging concern to those endpoints, and screen water and sediments samples for these contaminants in the studied watersheds. This is a notice of intent to award a single source grant without competition to Calvin College with Dr. Keith Grasman working on the project under justification 505DM 2.14B (2) &amp; (4). The Service intends to award to this recipient without competition because Dr. Grasman is uniquely qualified to perform this study. He is the researcher that has demonstrated the associations between PCBs and suppression of T-cell-mediated immunity in herring gull and Caspian tern chicks at highly contaminated sites in the Great Lakes as well as associations with altered antibody-mediated immunity (Grasman et al. 1996. Grasman and Fox 2001, Grasman et al. 2012). Because Dr. Grasman has developed and used these immunological methods at these study sites over the past 20 years, data that he generates under this grant can be directly compared with past data to determine trends and restoration of Beneficial Use Impairments.",25,250000,1,G,jeremy_n_moore@fws.gov,jeremy_n_moore@fws.gov,"Jeremy N. Moore, 517-351-8318;jeremy_n_moore@fws.gov;",08182014,D,,F14AS00404,"Assessment of Population, Reproductive, and Health Impairments in Colonial Waterbirds Breeding in Michigan&apos;s Areas of Concern and Associated Screening Water and Sediment for Contaminants of Emerging Concern",08182014,Synopsis 1
262189,"1. Eligible Applicants: To be eligible to compete for funding under this program a State must--      (a) Serve less than 10 percent of four-year-old children in a State Preschool Program or not have a State Preschool Program; \16\ and  ---------------------------------------------------------------------------        \16\ Based on current data from: Barnett, W.S., Carolan, M.E, Squires, J.H., and Clarke-Brown, K. (May 2014). State of Preschool 2013: First Look (NCES 2014-078). U.S. Department of Education. Washington, DC: National Center for Education Statistics. Available   at: http://nces.ed.gov/pubsearch.  ---------------------------------------------------------------------------        (b) Not have received an award under a Race to the Top--Early Learning Challenge competition.      Therefore, only the States of Alabama, Alaska, Arizona, Hawaii, Idaho, Indiana, Mississippi, Missouri, Montana, Nevada, New Hampshire, North Dakota, Puerto Rico, South Dakota, Utah, and Wyoming are eligible to apply for Preschool Development Grants--Development Grants.",Office of Elementary and Secondary Education (OESE): Preschool Development Grants: Development Grants CFDA Number 84.419A; Notice inviting applications for new awards for fiscal year (FY)  2014,http://www.gpo.gov/fdsys/pkg/FR-2014-08-18/pdf/2014-19426.pdf,ED,Department of Education,11182014,,,84.419,,ED,10212014,"Applications Available: August 18, 2014. Deadline for Notice of Intent to Apply: September 11, 2014.  We will be able to develop a more efficient process for reviewing grant applications if we know the approximate number of applicants that   intend to apply for funding under this competition. Therefore, the Departments strongly encourage each potential applicant to notify us of   the applicant&apos;s intent to submit an application for funding by emailing Rebecca Marek at PreschoolDevelopmentGrants.Competition@ed.gov by   September 11, 2014. This short email message should provide (1) the name of the State applying and (2) the contact person (name, phone   number, and email). Applicants that do not submit an ``Intent to Apply&apos;&apos; email may still apply for funding.      Note: Submission of a notice of intent to apply is optional.  To assist States in preparing the application and to respond to questions, ED and HHS intend to broadcast a Technical Assistance Planning Webinar live at http://edstream.ed.gov to review the priorities, requirements, and selection criteria for this competition.   The purpose of the Webinar will be to allow individuals responsible for developing applications to review with Federal program staff the priorities, requirements, and selection criteria for this competition and to ask questions about the Preschool Development Grants--Development Grants competition. We strongly encourage all interested State applicants to participate in the Webinar. For those who cannot attend the live Webinar, a link to the Webinar will be available on the Preschool Development Grants Web site at www.ed.gov/programs/preschooldevelopmentgrants. The Departments may host additional conference calls, workshops, or Webinars to answer applicant questions and will be posting Frequently Asked Questions and responses on the Preschool Development Grant Web site. The Departments will make available all registration information and additional details for the Technical Assistance Planning Webinar and any other technical assistance events on the Preschool Development Grants Web site at   www.ed.gov/programs/preschooldevelopmentgrants.      On August 18, 2014, the Departments of Education and Health and Human Services (Departments) published in the Federal Register (79 FR 48853, 79 FR 48873) notices inviting applications for new awards for fiscal year 2014 for the Preschool Development Grants--Development Grants and Preschool Development Grants--Expansion Grants programs. The notices established October 14, 2014, as the deadline date for eligible applicants to apply for funding under the programs. However, the Departments have been informed that the Grants.gov Web site will be unavailable to applicants on October 11-12, 2014, due to a scheduled maintenance outage. To allow applicants additional time to complete their applications as a result of this outage, we are extending the deadline date for transmittal of applications to October 15, 2014.  The deadline date for transmittal of applications is now extended to October 21, 2014.    DATES: Deadline for Transmittal of  Applications: October 21, 2014.",No,"Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Free Internet access to the official edition of the Federal Register and the Code of Federal Regulations is available on GPO Access at: http://www.access.gpo.gov/nara/index.html. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.Purpose of Program: The purpose of the Preschool Development Grants program, which is jointly administered by the Departments of Education and Health and Human Services (Departments), is to support State and local efforts to build, develop, and expand High-Quality Preschool Programs \1\ so that more children from low- and moderate-income families enter kindergarten ready to succeed in school and in life. All States, the District of Columbia, and Puerto Rico are eligible to apply for either a Preschool Development Grants--Development Grant or a Preschool Development Grants--Expansion Grant.--------------------------------------------------------------------------- \1\ Defined terms are used throughout the notice and are indicated by capitalization.--------------------------------------------------------------------------- Preschool Development Grants--Development Grants will support States with either small or no State Preschool Programs. These grants will be awarded to States to develop or enhance preschool program infrastructure and capacity to deliver High-Quality Preschool Programs. These States will be expected to implement and sustain High-Quality Preschool Programs to reach and serve additional Eligible Children in one or more High-Need Communities. The States eligible to apply for a Preschool Development Grants--Development Grant are Alabama, Alaska, Arizona, Hawaii, Idaho, Indiana, Mississippi, Missouri, Montana, Nevada, New Hampshire, North Dakota, Puerto Rico, South Dakota, Utah, and Wyoming. Preschool Development Grants--Expansion Grants will support States that have robust State Preschool Programs or that have been awarded a Race to the Top--Early Learning Challenge grant. These grants will be awarded to States to implement and sustain High-Quality Preschool Programs that reach and serve additional Eligible Children in two or more High-Need Communities. States will also be able to use a portion of their funds to make preschool program infrastructure and quality improvements needed to deliver High-Quality Preschool Programs. The States eligible to apply for a Preschool Development Grants--Expansion Grant are Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Nebraska, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, Washington, West Virginia, and Wisconsin.Catalog of Federal Domestic Assistance (CFDA) Number: 84.419A.Applications for grants under the Preschool Development Grants--Development Grants CFDA number 84.419A, must be submitted electronically using the Government wide Grants.gov Apply site at www.Grants.gov. Through this site, you will be able to download a copy of the application package, complete it offline, and then upload and submit your application. You may not email an electronic copy of a grant application to us.You may access the electronic grant application for Preschool Development Grants_Development Grants at www.Grants.gov. You must search for the downloadable application package for this program [competition] by the CFDA number. Do not include the CFDA number&apos;s alpha suffix in your search (e.g., search for 84.419, not 84.419A).",25,80000000,5,G,PreschoolDevelopmentGrants.Competition@ed.gov.,e-Mail: Program Mailbox,"Julius Cotton ;ED Grants.gov FIND Systems Admin. ;Phone 202-245-6288 ;EducationGrantInquiries@ed.gov ;Program Manager: ;Rebecca Marek ;U.S. Department of Education ;400 Maryland Ave. SW., Room 3E344 ;Washington, DC 20202-6200.  ;Telephone: 202-260-0968 or by email:  ;PreschoolDevelopmentGrants.Competition@ed.gov.",10172014,D,CategoryExplanation,ED-GRANTS-081814-001,Office of Elementary and Secondary Education (OESE): Preschool Development Grants: Development Grants CFDA Number 84.419A,08182014,Synopsis 3
262190,"1. Eligible Applicants: To be eligible to compete for funding under this program a State must--      (a) Serve 10 percent or more of four-year-old children in a State Preschool Program; \17\ or  ---------------------------------------------------------------------------        \17\ Based on current data from: Barnett, W.S., Carolan, M.E, Squires, J.H., and Clarke-Brown, K. (May 2014). State of Preschool 2013: First Look (NCES 2014-078). U.S. Department of Education. Washington, DC: National Center for Education Statistics. Available at: http://nces.ed.gov/pubsearch.    ---------------------------------------------------------------------------        (b) Have received an award under a Race to the Top--Early Learning Challenge competition.      Therefore, only the States of Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Nebraska, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, Washington, West Virginia, and Wisconsin are eligible to apply for Preschool Development Grants--Expansion Grants.",Office of Elementary and Secondary Education (OESE): Preschool Development Grants: Expansion Grants CFDA Number 84.419B; Notice inviting applications for new awards for fiscal year (FY) 2014,http://www.gpo.gov/fdsys/pkg/FR-2014-08-18/pdf/2014-19427.pdf,ED,Department of Education,11182014,,,84.419,,ED,10212014,"Applications Available: August 18, 2014. Deadline for Notice of Intent to Apply: September 11, 2014. We will be able to develop a more efficient process for reviewing grant applications if we know the approximate number of applicants that intend to apply for funding under this competition. Therefore, the Departments strongly encourage each potential applicant to notify us of the applicant&apos;s intent to submit an application for funding by emailing Rebecca Marek at PreschoolDevelopmentGrants.Competition@ed.gov by   September 11, 2014. This short email message should provide (1) the name of the State applying and (2) the contact person (name, phone number, and email). Applicants that do not submit an ``Intent to Apply&apos;&apos; email may still apply for funding.        Note: Submission of a notice of intent to apply is optional.    To assist States in preparing the application and to respond to questions, ED and HHS intend to broadcast a Technical Assistance Planning Webinar live at http://edstream.ed.gov to review the priorities, requirements, and selection criteria for this competition.   The purpose of the Webinar will be to allow individuals responsible for developing applications to review with Federal program staff the priorities, requirements, and selection criteria for this competition and to ask questions about the Preschool Development Grants--Development Grants competition. We strongly encourage all interested State applicants to participate in the Webinar. For those who cannot attend the live Webinar, a link to the Webinar will be available on the Preschool Development Grants Web site at www.ed.gov/programs/preschooldevelopmentgrants. The Departments may host additional conference calls, workshops, or Webinars to answer applicant questions and will be posting Frequently Asked Questions and responses on the Preschool Development Grant Web site. The Departments will make available all registration information and additional details for the Technical Assistance Planning Webinar and any other technical assistance events on the Preschool Development Grants Web site at   www.ed.gov/programs/preschooldevelopmentgrants.        On August 18, 2014, the Departments of Education and Health and Human Services (Departments) published in the Federal Register (79 FR 48853, 79 FR 48873) notices inviting applications for new awards for fiscal year 2014 for the Preschool Development Grants--Development Grants and Preschool Development Grants--Expansion Grants programs. The notices established October 14, 2014, as the deadline date for eligible applicants to apply for funding under the programs. However, the Departments have been informed that the Grants.gov Web site will be unavailable to applicants on October 11-12, 2014, due to a scheduled maintenance outage. To allow applicants additional time to complete their applications as a result of this outage, we are extending the deadline date for transmittal of applications to October 15, 2014.    The deadline date for transmittal of applications is now extended to October 21, 2014.    DATES: Deadline for Transmittal of Applications: October 21, 2014.",No,"Note: Each funding opportunity description is a synopsis of information in the Federal Register application notice. For specific information about eligibility, please see the official application notice. The official version of this document is the document published in the Federal Register. Free Internet access to the official edition of the Federal Register and the Code of Federal Regulations is available on GPO Access at: http://www.access.gpo.gov/nara/index.html. Please review the official application notice for pre-application and application requirements, application submission information, performance measures, priorities and program contact information.Purpose of Program: The purpose of the Preschool Development Grants program, which is jointly administered by the Departments of Education and Health and Human Services (Departments), is to support State and local efforts to build, develop, and expand High-Quality Preschool Programs \1\ so that more children from low- and moderate-income families enter kindergarten ready to succeed in school and in life. All States, the District of Columbia, and Puerto Rico are eligible to apply for either a Preschool Development Grants--Development Grant or a Preschool Development Grants--Expansion Grant.--------------------------------------------------------------------------- \1\ Defined terms are used throughout the notice and are indicated by capitalization.--------------------------------------------------------------------------- Preschool Development Grants--Expansion Grants will support States that have robust State Preschool Programs or that have been awarded a Race to the Top--Early Learning Challenge grant. These grants will be awarded to States to implement and sustain High-Quality Preschool Programs that reach and serve additional Eligible Children in two or more High-Need Communities. States will also be able to use a portion of their funds to make preschool program infrastructure and quality improvements needed to deliver High-Quality Preschool Programs. The States eligible to apply for a Preschool Development Grants--Expansion Grant are Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Illinois, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Nebraska, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, Washington, West Virginia, and Wisconsin. Preschool Development Grants--Development Grants will support States with either small or no State Preschool Programs. These grants will be awarded to States to develop or enhance preschool program infrastructure and capacity to deliver High-Quality Preschool Programs. These States will be expected to implement and sustain High-Quality Preschool Programs to reach and serve additional Eligible Children in one or more High-Need Communities. The States eligible to apply for a Preschool Development Grants--Development Grant are Alabama, Alaska, Arizona, Hawaii, Idaho, Indiana, Mississippi, Missouri, Montana, Nevada, New Hampshire, North Dakota, Puerto Rico, South Dakota, Utah, and Wyoming. Background and Program Overview:Preschool Development Grants--Expansion Grants Strong and consistent evidence demonstrates that participation in high-quality early learning programs can lead to both short- and long-term positive outcomes for all children, but especially children from low-income families.\2\ Research has shown the multiple benefits of attending preschool programs that are of high-quality, including increased school readiness, lower rates of grade retention and special education placements, improved high school graduation rates, reduced interaction with law enforcement, and higher rates of college attendance and completion.\3\Catalog of Federal Domestic Assistance (CFDA) Number: 84.419B.Applications for grants under the Preschool Development Grants--Expansion Grants, CFDA number 84.419B, must be submitted electronically using the Government wide Grants.gov Apply site at www.Grants.gov. Through this site, you will be able to download a copy of the application package, complete it offline, and then upload and submit your application. You may not email an electronic copy of a grant application to us.You may access the electronic grant application for Preschool Development Grants_Expansion Grants at www.Grants.gov. You must search for the downloadable application package for this program [competition] by the CFDA number. Do not include the CFDA number&apos;s alpha suffix in your search (e.g., search for 84.419, not 84.419B). In the Federal Register of August 18, 2014 (79 FR 48874), on page 48884, in the left-hand column under the selection criterion (A)(7)(b), the text of the selection criterion refers to ``one or more&apos;&apos; High-Need Communities. In order to align Selection Criterion (A)(7)(b) with Absolute Priority 1 and the introductory text to Selection Criterion (D), we correct the paragraph to read ``two or more&apos;&apos; High-Need Communities, as follows: (b) Subgrants to Early Learning Providers to implement voluntary, High-Quality Preschool Programs for Eligible Children in two or more High-Need Communities, including how it will-- Program Authority: Sections 14005 and 14006 of the ARRA, as amended by section 1832(b) of division B of the Department of Defense and Full-Year Continuing Appropriations Act, 2011 (Pub. L. 112-10), the Department of Education Appropriations Act, 2012 (title III of division F of Pub. L. 112-74, the Consolidated Appropriations Act, 2012), and the Department of Education Appropriations Act, 2014 (title III of division H of Pub. L. 113-76, the Consolidated Appropriations Act, 2014).",25,160000000,7,G,PreschoolDevelopmentGrants.Competition@ed.gov.,e-Mail: Program Mailbox,"Julius Cotton ;ED Grants.gov FIND Systems Admin. ;Phone 202-245-6288 ;EducationGrantInquiries@ed.gov ;Program Manager: ;Rebecca Marek ;U.S. Department of Education ;400 Maryland Ave. SW., Room 3E344 ;Washington, DC 20202-6200. ;Telephone: 202-260-0968 or by email:  ;PreschoolDevelopmentGrants.Competition@ed.gov.",10172014,D,CategoryExplanation,ED-GRANTS-081814-002,Office of Elementary and Secondary Education (OESE): Preschool Development Grants: Expansion Grants CFDA Number 84.419B,08182014,Synopsis 5
